C:\Users\WhizKid2004\PycharmProjects\poliGPTTest\venv\Scripts\python.exe C:\Users\WhizKid2004\PycharmProjects\a1\part1\main.py
Executing GP Runs Please Wait...
   	      	                            fitness                            	                          size
   	      	---------------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max        	med    	min    	nevals	std    	avg    	gen	max	med	min	nevals	std
9  	266   	25.603     	9  	632.886    	18.1086	12.2061	266   	53.2757    	24.45  	9  	73 	23 	3  	266   	12.2513
10 	272   	27.2211    	10 	1669.17    	17.8308	12.2061	272   	97.5621    	27.7467	10 	85 	25 	1  	272   	13.9306
11 	271   	6598.31    	11 	1.95929e+06	17.6233	9.40911	271   	112928     	29.9033	11 	75 	27 	1  	271   	14.0876
12 	278   	437.168    	12 	122883     	17.2926	9.40911	278   	7081.91    	30.4533	12 	86 	28 	7  	278   	13.9268
13 	277   	23.5283    	13 	1255.6     	16.946 	7.66038	277   	72.6961    	33.27  	13 	92 	31 	6  	277   	14.4858
14 	292   	24.3355    	14 	589.182    	17.058 	3.7315 	292   	41.6893    	36.5367	14 	110	35 	5  	292   	15.9395
15 	270   	208.015    	15 	54316.8    	16.617 	3.23616	270   	3129.94    	36.88  	15 	95 	35 	3  	270   	15.3144
16 	288   	65.3068    	16 	7715.99    	16.5225	3.23616	288   	525.824    	38.8333	16 	87 	38 	2  	288   	15.5224
17 	270   	62.6195    	17 	8113.61    	15.5737	3.23616	270   	533.863    	42.5933	17 	88 	42 	6  	270   	15.2797
18 	275   	47.0562    	18 	4467.44    	15.412 	3.23616	275   	275.827    	44.77  	18 	98 	44 	3  	275   	16.433
19 	281   	18.3307    	19 	274.993    	14.8568	3.21302	281   	22.1843    	47.92  	19 	99 	48 	2  	281   	18.0553
20 	274   	1456.41    	20 	347732     	13.8833	3.13452	274   	20561      	52.06  	20 	105	50 	3  	274   	17.4252
21 	274   	11563.3    	21 	3.33252e+06	13.6333	3.13452	274   	192180     	54.35  	21 	105	51 	4  	274   	18.1764
22 	275   	86.8391    	22 	7100.36    	10.107 	3.12246	275   	603.336    	60.4833	22 	112	60.5	3  	275   	20.249
23 	271   	192.042    	23 	21824.1    	8.39651	3.12246	271   	1425.16    	60.8967	23 	112	61  	5  	271   	19.1772
24 	268   	151.173    	24 	17863.9    	8.04376	2.50022	268   	1190.62    	62.1833	24 	120	63  	5  	268   	19.1227
25 	271   	96.1073    	25 	4957.84    	6.93673	2.38587	271   	586.333    	63.54  	25 	123	65  	1  	271   	21.2536
26 	273   	140.45     	26 	18811      	7.08806	2.38587	273   	1180.53    	67.3433	26 	120	66.5	2  	273   	22.4201
27 	278   	68.2833    	27 	4071.75    	6.56818	2.18748	278   	417.601    	66.3833	27 	120	65.5	2  	278   	23.3546
28 	276   	5946.83    	28 	881888     	7.11794	2.16217	276   	67945.8    	68.81  	28 	139	67  	6  	276   	25.6801
29 	277   	84.4638    	29 	4906.61    	5.78766	2.16217	277   	533.475    	75.0967	29 	167	72  	19 	277   	26.8544
30 	258   	132226     	30 	3.96568e+07	4.52164	2.1359 	258   	2.28577e+06	78.27  	30 	172	73  	7  	258   	28.7296
31 	274   	36.2307    	31 	4477.2     	4.3145 	2.10226	274   	272.67     	86.0033	31 	164	87  	4  	274   	28.6743
32 	286   	48.4336    	32 	4924.17    	3.86893	1.3948 	286   	405.387    	91.7067	32 	182	93  	1  	286   	28.2425
33 	277   	25.3138    	33 	4476.46    	3.62236	1.3948 	277   	259.353    	93.5967	33 	158	98  	3  	277   	27.5358
34 	278   	42.7437    	34 	4963.21    	3.38942	1.21658	278   	400.952    	100.813	34 	162	102.5	3  	278   	24.6725
35 	271   	156.17     	35 	44305.6    	3.10948	1.20906	271   	2553.28    	103.78 	35 	176	103  	6  	271   	23.8095
36 	273   	39.4077    	36 	4479.29    	3.21236	1.20906	273   	290.018    	104.307	36 	184	103  	5  	273   	23.7179
37 	282   	30.2628    	37 	4470.06    	3.15332	1.19085	282   	271.533    	104.577	37 	174	104  	21 	282   	24.4038
38 	284   	201.598    	38 	44298.1    	2.69924	1.17077	284   	2582.95    	106.81 	38 	199	105.5	26 	284   	24.7777
39 	271   	16366.4    	39 	4.86554e+06	2.5561 	1.05146	271   	280442     	109.713	39 	174	110  	29 	271   	24.8927
40 	266   	70.2346    	40 	4904.81    	2.35475	0.980599	266   	505.161    	108.577	40 	174	110  	1  	266   	27.0497
41 	278   	29.4603    	41 	4484.13    	2.27416	0.953756	278   	266.072    	107.95 	41 	175	110  	3  	278   	25.515
42 	274   	37.4906    	42 	2513.66    	2.37874	0.922891	274   	229.155    	107.957	42 	159	110  	3  	274   	25.1396
43 	274   	29.6303    	43 	4473.46    	2.09965	0.922891	274   	278.638    	108.217	43 	170	108.5	3  	274   	25.3793
44 	270   	58.4661    	44 	4479.43    	2.29361	0.822842	270   	431.721    	109.243	44 	167	108.5	3  	270   	22.5432
45 	274   	54.5596    	45 	4492.59    	2.01097	0.808756	274   	446.512    	110.347	45 	168	108.5	17 	274   	23.7912
46 	268   	43.5282    	46 	4449.08    	1.89367	0.78199 	268   	347.41     	108.443	46 	167	108  	24 	268   	25.5965
47 	261   	43.6372    	47 	4474.36    	2.19486	0.75901 	261   	357.067    	111.657	47 	180	109  	1  	261   	26.3128
48 	278   	51.0801    	48 	11740.7    	1.9934 	0.75901 	278   	677.573    	113.023	48 	182	113.5	34 	278   	26.9241
49 	280   	56.7801    	49 	8115.19    	2.29311	0.75901 	280   	534.01     	114.043	49 	219	116  	34 	280   	27.5233
50 	274   	27.9962    	50 	5400.9     	1.70775	0.750389	274   	312.353    	114.853	50 	173	118  	38 	274   	23.964
   	      	                        fitness                        	                          size
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max   	med    	min    	nevals	std    	avg    	gen	max	med	min	nevals	std
0  	300   	992.157	0  	116414	23.8817	14.4065	300   	8666.01	14.7667	0  	47 	12 	4  	300   	8.81545
1  	267   	94.8133	1  	16125.5	21.8538	12.2632	267   	939.906	12.2833	1  	44 	11 	2  	267   	7.28856
2  	268   	34.7507	2  	2899.4 	21.4572	11.6987	268   	167.665	12.7967	2  	44 	12 	1  	268   	8.07147
3  	279   	29534.6	3  	8.80447e+06	21.3793	8.50808	279   	507470 	14.69  	3  	50 	14 	2  	279   	8.86005
4  	275   	94.6479	4  	10719.8    	21.0009	8.29827	275   	692.71 	16.52  	4  	53 	16 	2  	275   	9.55316
5  	270   	174889 	5  	5.24488e+07	20.8784	7.03937	270   	3.02308e+06	18.0867	5  	45 	18 	1  	270   	8.77378
6  	281   	9012.96	6  	1.50542e+06	20.9248	6.64387	281   	98699      	20.4233	6  	51 	20 	1  	281   	9.38141
7  	271   	386.233	7  	51490.5    	20.2819	4.22061	271   	3966.29    	21.67  	7  	61 	20 	1  	271   	9.44252
8  	271   	5293.16	8  	1.22622e+06	18.6343	4.22061	271   	71549.5    	23.1267	8  	57 	22 	1  	271   	9.314
9  	276   	440.612	9  	72794.6    	19.5499	4.22061	276   	4654.47    	24.34  	9  	67 	23 	1  	276   	10.3633
10 	273   	3610.35	10 	582052     	18.57  	3.94757	273   	36166.1    	24.45  	10 	50 	23 	1  	273   	9.81568
11 	282   	5444.58	11 	1.44152e+06	16.4745	2.85348	282   	83599.9    	26.3067	11 	55 	25 	3  	282   	10.2026
12 	275   	7758.28	12 	1.09226e+06	14.6346	2.85348	275   	80687.2    	27.6333	12 	58 	27 	1  	275   	10.9422
13 	279   	51647.3	13 	1.12345e+07	18.0922	2.85348	279   	667460     	29.4267	13 	60 	28 	1  	279   	11.8838
14 	268   	1789.43	14 	213487     	12.876 	2.85348	268   	14166.9    	30.99  	14 	72 	28 	1  	268   	12.6255
15 	284   	10321.3	15 	1.73802e+06	11.6504	2.85348	284   	120049     	32.29  	15 	75 	30 	4  	284   	13.7132
16 	277   	13001.3	16 	2.72146e+06	11.3934	1.92779	277   	160979     	33.4   	16 	83 	32 	1  	277   	13.8121
17 	275   	458.597	17 	47682      	10.6202	1.92775	275   	3600.05    	35.0967	17 	74 	34 	3  	275   	14.6308
18 	272   	185.396	18 	35064.1    	10.9147	1.92618	272   	2054.39    	37.0167	18 	100	35 	1  	272   	15.3546
19 	280   	642.635	19 	63381.7    	11.776 	1.92613	280   	5346.47    	38.2033	19 	98 	36 	1  	280   	16.3441
20 	290   	667.287	20 	95106.9    	9.84829	1.92612	290   	6715.71    	41.61  	20 	104	41 	1  	290   	17.1675
21 	278   	9462.09	21 	1.69102e+06	7.44336	1.02039	278   	115556     	41.6133	21 	101	41.5	1  	278   	17.2382
22 	279   	1642.3 	22 	156499     	8.41546	1.02039	279   	12620.7    	41.5133	22 	92 	40  	1  	279   	17.6292
23 	274   	887.907	23 	85786.4    	8.08444	1.02039	274   	7185.65    	42.0933	23 	126	40.5	6  	274   	18.6904
24 	267   	1111.37	24 	181847     	7.87699	1.02039	267   	13203.1    	43.9   	24 	126	41  	1  	267   	19.5735
25 	264   	6827.92	25 	1.13964e+06	8.58947	1.02039	264   	82499.1    	47.2   	25 	127	44  	1  	264   	22.3165
26 	256   	870.751	26 	172765     	7.11606	1.02039	256   	10770.1    	53.11  	26 	127	51  	1  	256   	22.0806
27 	280   	2455.94	27 	668298     	7.3403 	1.02039	280   	38581.7    	57.0067	27 	134	56  	4  	280   	21.3676
28 	271   	70.369 	28 	7213.14    	6.63674	0.995756	271   	520.26     	56.7   	28 	116	56  	3  	271   	19.6712
29 	281   	196915 	29 	5.05118e+07	6.84115	0.995756	281   	2.949e+06  	53.3933	29 	145	52  	1  	281   	19.137
30 	274   	246.724	30 	49707.7    	6.57876	0.995756	274   	2968.03    	52.59  	30 	112	54  	3  	274   	18.0365
31 	280   	957.881	31 	193305     	7.01821	0.995756	280   	11393.4    	51.98  	31 	130	52  	1  	280   	19.7501
